,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
S24_2013_11226423,9.416195980969781e-05,9.416195991954017e-05,9.416196120345999e-05,0.025050362469789797,0.07773304076492682,9.416195958504204e-05,9.416196134492583e-05,0.009325476361560173,9.41619611055958e-05,9.416196094271613e-05,9.416196111198063e-05,9.416196338139908e-05,0.2210964594075158,9.416196138064284e-05,9.416195974059233e-05,0.015941913402887503,9.416196041383217e-05,0.6231569429231226,0.026471699178501385,9.416196175635074e-05
S24_2013_11563099,0.0001358695683614229,0.00013586956716080302,0.00013586956755062834,0.0001358695672085216,0.0051951422445768985,0.00013586956775985237,0.00013586956709329685,0.09964842458454751,0.0001358695679265168,0.12696676062858425,0.00013586956782912123,0.00013586956796603512,0.00013586956729976928,0.029594783386180275,0.00013586956843089092,0.03415251221356229,0.35734646636312867,0.00013586956697440438,0.3453296062003643,0.00013586956749470495
S24_2013_11546506,0.00019841270203203247,0.0001984127003977796,0.09633034608909838,0.0001984127032359503,0.00019841270071520195,0.00019841270184773487,0.00019841270035266805,0.0001984127033564468,0.37973460932279823,0.4430931460268485,0.00019841270057824683,0.00019841270053165257,0.00019841270090667168,0.00019841270204602366,0.0001984127023665427,0.00019841270282749217,0.07766729533680068,0.0001984126996396401,0.00019841270223000464,0.00019841270138999377
S24_2013_11913335,0.03414532431770406,0.00010504201892868127,0.11881366676031876,0.4814711848745798,0.00010504201947422841,0.0001050420191125515,0.0001050420181497801,0.00010504201872760432,0.15529059548455895,0.00010504201950931066,0.06805135108366428,0.11642531175629557,0.00010504201937582123,0.00010504201891539455,0.00010504201905141973,0.00010504201834373628,0.00010504201857656436,0.009635566882487125,0.00010504201913689815,0.01490649461308949
S24_2013_11439371,0.00017543860020790745,0.26511814969737457,0.00017543860309170018,0.00017543859924727917,0.00017543859902639103,0.00017543859939373537,0.00017543859918702878,0.00017543860650928874,0.00017543860023881466,0.0001754386008405415,0.00017543860022033186,0.00017543859963991702,0.0001754386000272213,0.00017543859909729495,0.000175438600191055,0.00017543859997333302,0.00017543860105169134,0.00017543859873451708,0.7317239554944794,0.00017543860146798762
S24_2013_11510177,0.023428525307372883,0.00017921147168819957,0.0001792114718448994,0.00017921147311191084,0.00017921147283285336,0.00017921147285088096,0.09418717717511518,0.0001792114728354671,0.00017921147264768504,0.005309225843055384,0.0001792114717695975,0.00017921147160253364,0.00017921147219841787,0.00017921147105599136,0.013455226938218668,0.00017921147454276937,0.8085304285669722,0.0525804555544554,0.0001792114735813452,0.00017921147224753584
S24_2013_11825951,0.00011682243168268854,0.00011682243131594882,0.00011682243198661671,0.00011682243173181371,0.5802076406431831,0.00011682243183605713,0.00011682243147194827,0.00011682243362675973,0.00011682243218640022,0.00011682243267708153,0.0001168224317225403,0.00011682243152255237,0.4176895555783787,0.00011682243193226673,0.00011682243226111656,0.00011682243206961488,0.00011682243350817451,0.00011682243117113132,0.00011682243216193563,0.00011682243357343761
S24_2013_11202845,0.00010395010642399416,0.00010395010602877714,0.00010395010652795659,0.00010395010573679115,0.00010395010538852563,0.00010395010640517835,0.00010395010579602688,0.00010395010591086061,0.00010395010681623341,0.00010395010646402432,0.00010395010746290806,0.00010395010510133634,0.5276886463645608,0.021523258149757845,0.4490209436819126,0.00010395010539884858,0.00010395010656906742,0.0001039501047007702,0.00010395010698691799,0.00010395010605059867
S24_2013_11780806,0.00017241379652405332,0.00017241379524494217,0.00017241379675597446,0.00017241379748383827,0.07635243375612279,0.00017241379764514978,0.0001724137954709744,0.0001724137965451875,0.20129427679770032,0.31478044585942805,0.0001724137959876224,0.00017241379582727705,0.00017241379652530915,0.0001724137950269662,0.02265644603421496,0.00017241379592145196,0.3823301906038007,0.00017241380100357418,0.00017241379580175178,0.00017241379696882313
S24_2013_11787114,0.00020576132024349733,0.0002057613207198295,0.33356376422886985,0.00020576132061892624,0.0002057613193982643,0.0002057613199625562,0.040637736834771156,0.00020576132282814028,0.00020576132043608638,0.00020576132166753486,0.00020576132671892126,0.00020576131850081277,0.0002057613202584783,0.00020576132045306024,0.13320293443298967,0.0002057613225768044,0.48543025854885685,0.004078886135529628,0.00020576132123733274,0.00020576132336261725
