,0,1,2,3,4,5,6
S24_2013_11589052,0.0005173624176507866,0.0005175667073858008,0.9115675360193,0.0005173381303442009,0.0005173277136754672,0.08584568706931432,0.000517181942329595
S24_2013_11395528,0.023136424441669037,0.0003299734570350376,0.00032960910527409247,0.012405114072023904,0.6465369765744107,0.19834947070308176,0.11891243164650536
S24_2013_11601126,0.000503512261907212,0.2079432713889631,0.0005033129111436035,0.0005040254649582183,0.3386630681107109,0.4513791886371335,0.0005036212251836018
S24_2013_11645688,0.00035887741657257533,0.0003592784381708338,0.00035903126842804655,0.5981127294294993,0.00035909726432832264,0.00035918593336421674,0.40009180024963664
S24_2013_11867877,0.00042391234368665306,0.997454621911675,0.0004243892105478559,0.00042436862721867793,0.00042425556812573126,0.00042434296354198846,0.00042410937520420434
S24_2013_11212760,0.00043182918811667073,0.151794729201588,0.0004324037303793006,0.16405690916399637,0.00043212754477963506,0.000431934715670565,0.6824200664554695
S24_2013_11933058,0.0004144598777518825,0.15887612178739327,0.00041440853816677005,0.4488651759595712,0.39060058009300486,0.00041469376563176133,0.0004145599784801039
S24_2013_5301555,0.4887255880908456,0.10143596224571477,0.062092977648519385,0.00020813542434019972,0.16683388102480848,0.07738937817662604,0.10331407738914564
S24_2013_11280371,0.01053714601250693,0.00028978666518178974,0.04862709554841398,0.12212476297758043,0.3925155490581587,0.18470968425523354,0.24119597548292457
S24_2013_11403993,0.00034615375457327407,0.0003463248351654876,0.1925630909093843,0.0003462155519782219,0.0003471954585022179,0.8057045927045691,0.0003464267858274379
S24_2013_3660437,0.0002848400087866344,0.09339171551657512,0.00028487299066981423,0.00028495141811800634,0.000284820992897016,0.9051837649804518,0.00028503409250161616
S24_2013_11591880,0.17058315336520588,0.0003939938673767844,0.0003940511965045945,0.00039444460415321474,0.6174216252629597,0.21041842749039533,0.00039430421340453623
S24_2013_11238598,0.000567024157491975,0.9442074291064888,0.000566779520959988,0.0005670752807410048,0.05295845680710465,0.0005665074844277753,0.000566727642785948
S24_2013_10346803,0.14212536310795557,0.29025733288318123,0.3915413482740277,0.0002491405540683112,0.0002494714037697087,0.17532814321931747,0.00024920055767985345
S24_2013_11765316,0.00034886328488266844,0.0003491108993198171,0.18875406050478385,0.00034881595455381635,0.353273852689452,0.0003489427585649698,0.45657635390844287
S24_2013_11877871,0.5485294962282558,0.1525181041930456,0.00036098391375012683,0.0003609837286269568,0.20516232874587628,0.09270691321883143,0.0003611899716139273
S24_2013_11458191,0.00031442807741726255,0.0003142600603234664,0.0003140115899439183,0.00031417728029197204,0.0003140161645009639,0.00031392352555344757,0.998115183301969
S24_2013_11790176,0.00025421395732528853,0.0002542954562402832,0.01909104981086347,0.14265266545792882,0.11230043323309716,0.07975266845050669,0.6456946736340382
S24_2013_9950465,0.0004251736867847249,0.00042598688400919646,0.0004257550396230154,0.0004253396854208709,0.0004250250812143479,0.9974473668272044,0.00042535279574351794
S24_2013_11668823,0.4770330419119042,0.051022328056263146,0.00036479787797866285,0.00036503029082289915,0.47048482804399716,0.00036503026798227463,0.00036494355105167115
